order_id,user_id,status,gender,created_at,shipped_at,delivered_at,returned_at,num_of_item
O114065,U91224,Shipped,F,2022-06-26,2022-06-26,,,1
O114071,U91231,Cancelled,F,2021-12-10,,,,1
O114107,U91259,Cancelled,F,2021-11-21,,,,2
O114108,U91259,Shipped,F,2022-10-22,2022-10-23,,,2
O114136,U91289,Processing,F,2022-06-10,,,,2
O114180,U91328,Processing,F,2022-12-23,,,,1
O114197,U91337,Processing,F,2020-12-04,,,,2
O114251,U91375,Cancelled,F,2023-04-05,,,,3
O114259,U91383,Processing,F,2022-04-07,,,,2
O114288,U91412,Complete,F,2020-07-26,2020-07-27,2020-07-31,,1
O114295,U91418,Shipped,F,2020-12-20,2020-12-21,,,2
O114300,U91425,Cancelled,F,2020-11-10,,,,4
O114331,U91448,Processing,F,2022-03-14,,,,3
O114335,U91451,Shipped,F,2020-04-07,2020-04-10,,,1
O114336,U91451,Shipped,F,2019-09-02,2019-09-05,,,1
O114337,U91451,Shipped,F,2023-06-01,2023-06-03,,,3
O114340,U91454,Cancelled,F,2022-12-06,,,,1
O114343,U91457,Processing,F,2022-08-05,,,,2
O114348,U91462,Shipped,F,2022-05-11,2022-05-12,,,4
O114364,U91477,Shipped,F,2023-03-06,2023-03-06,,,1
O114365,U91477,Processing,F,2022-11-13,,,,1
O114373,U91485,Cancelled,F,2023-03-21,,,,2
O114390,U91494,Complete,F,2021-04-20,2021-04-22,2021-04-27,,1
O114404,U91502,Shipped,F,2022-03-19,2022-03-22,,,1
O114407,U91505,Processing,F,2021-12-07,,,,2
O114432,U91525,Shipped,F,2020-10-10,2020-10-10,,,2
O114437,U91528,Cancelled,F,2022-01-19,,,,3
O114442,U91534,Shipped,F,2023-05-07,2023-05-08,,,1
O114489,U91570,Shipped,F,2021-02-26,2021-02-26,,,4
O114495,U91576,Shipped,F,2023-02-06,2023-02-08,,,1
O114570,U91634,Shipped,F,2019-11-28,2019-11-27,,,4
O114572,U91634,Shipped,F,2023-02-17,2023-02-19,,,2
O114577,U91641,Returned,F,2023-02-10,2023-02-09,2023-02-09,2023-02-09,2
O114585,U91650,Shipped,F,2020-08-18,2020-08-18,,,3
O114605,U91664,Cancelled,F,2023-05-04,,,,3
O114629,U91681,Cancelled,F,2023-05-28,,,,1
O114633,U91686,Cancelled,F,2023-02-25,,,,4
O114681,U91727,Complete,F,2019-08-05,2019-08-07,2019-08-09,,1
O114686,U91730,Complete,F,2023-05-22,2023-05-25,2023-05-26,,1
O1147,U922,Processing,F,2019-08-27,,,,3
O114701,U91739,Processing,F,2023-01-03,,,,4
O114734,U91764,Shipped,F,2023-02-22,2023-02-22,,,1
O114749,U91776,Returned,F,2022-07-28,2022-07-28,2022-08-01,2022-08-01,1
O11478,U9155,Processing,F,2023-01-16,,,,4
O114783,U91801,Cancelled,F,2021-11-04,,,,2
O114788,U91804,Complete,F,2023-02-18,2023-02-14,2023-02-19,,2
O114824,U91837,Shipped,F,2023-02-14,2023-02-11,,,2
O114851,U91854,Complete,F,2023-01-04,2023-01-04,2023-01-04,,1
O114853,U91855,Complete,F,2022-12-11,2022-12-10,2022-12-14,,4
O114855,U91855,Shipped,F,2022-09-30,2022-09-28,,,4
O114867,U91865,Complete,F,2023-06-30,2023-07-02,2023-07-05,,1
O114870,U91867,Complete,F,2021-11-28,2021-11-28,2021-11-30,,1
O114899,U91886,Cancelled,F,2023-06-13,,,,3
O11491,U9167,Returned,F,2023-06-28,2023-06-29,2023-07-02,2023-07-02,1
O11493,U9168,Cancelled,F,2022-12-18,,,,1
O114940,U91932,Shipped,F,2023-04-01,2023-04-04,,,2
O114941,U91933,Complete,F,2023-05-09,2023-05-08,2023-05-12,,3
O114942,U91934,Returned,F,2023-01-06,2023-01-08,2023-01-10,2023-01-10,3
O114945,U91938,Complete,F,2021-04-25,2021-04-27,2021-05-01,,1
O114957,U91949,Complete,F,2021-07-06,2021-07-08,2021-07-09,,1
O114980,U91967,Shipped,F,2022-06-02,2022-06-01,,,4
O11499,U9175,Cancelled,F,2021-02-07,,,,1
O114991,U91981,Complete,F,2021-01-05,2021-01-05,2021-01-07,,1
O1150,U922,Processing,F,2019-03-25,,,,1
O115005,U91990,Shipped,F,2021-11-27,2021-11-29,,,1
O115016,U91996,Complete,F,2022-05-28,2022-05-27,2022-05-29,,2
O115034,U92012,Shipped,F,2021-02-03,2021-02-05,,,1
O115038,U92014,Shipped,F,2020-05-22,2020-05-24,,,1
O115058,U92031,Processing,F,2022-06-17,,,,1
O11507,U9182,Processing,F,2021-12-25,,,,1
O115079,U92044,Processing,F,2023-03-05,,,,1
O11509,U9185,Shipped,F,2022-11-26,2022-11-26,,,2
O115093,U92054,Complete,F,2020-07-30,2020-08-02,2020-08-06,,1
O1151,U923,Returned,F,2022-04-06,2022-04-06,2022-04-06,2022-04-06,2
O11510,U9185,Returned,F,2023-03-19,2023-03-21,2023-03-26,2023-03-26,1
O115103,U92064,Cancelled,F,2021-12-19,,,,1
O115112,U92072,Returned,F,2022-07-20,2022-07-20,2022-07-25,2022-07-25,1
O115115,U92074,Processing,F,2022-08-20,,,,1
O115140,U92104,Shipped,F,2022-12-10,2022-12-11,,,3
O115154,U92119,Complete,F,2023-03-16,2023-03-16,2023-03-20,,1
O115161,U92124,Shipped,F,2020-02-19,2020-02-19,,,2
O115162,U92125,Returned,F,2021-12-23,2021-12-22,2021-12-26,2021-12-26,3
O115164,U92127,Complete,F,2022-01-19,2022-01-19,2022-01-22,,3
O115183,U92136,Processing,F,2023-03-24,,,,1
O11525,U9194,Complete,F,2022-09-23,2022-09-25,2022-09-27,,1
O115265,U92218,Shipped,F,2023-06-12,2023-06-15,,,1
O115266,U92218,Complete,F,2022-04-15,2022-04-14,2022-04-17,,2
O1153,U924,Returned,F,2023-02-12,2023-02-12,2023-02-14,2023-02-14,4
O115303,U92249,Complete,F,2022-10-03,2022-10-02,2022-10-06,,3
O115309,U92252,Shipped,F,2023-01-13,2023-01-13,,,4
O115310,U92253,Cancelled,F,2022-12-16,,,,1
O115331,U92265,Processing,F,2020-02-05,,,,1
O115339,U92270,Returned,F,2022-07-11,2022-07-12,2022-07-14,2022-07-14,1
O115354,U92287,Shipped,F,2022-01-28,2022-01-29,,,1
O115364,U92294,Complete,F,2020-04-17,2020-04-19,2020-04-24,,1
O115375,U92301,Complete,F,2023-01-18,2023-01-21,2023-01-21,,2
O11538,U9207,Complete,F,2023-03-12,2023-03-12,2023-03-13,,1
O115391,U92312,Shipped,F,2023-03-24,2023-03-23,,,2
O1154,U924,Shipped,F,2022-12-30,2022-12-30,,,1
O115404,U92321,Cancelled,F,2023-06-28,,,,1
O115407,U92322,Returned,F,2022-05-20,2022-05-21,2022-05-23,2022-05-23,1
O115423,U92333,Cancelled,F,2022-10-30,,,,3
O115432,U92343,Shipped,F,2022-02-09,2022-02-10,,,1
O11544,U9214,Returned,F,2022-11-22,2022-11-24,2022-11-27,2022-11-27,1
O115441,U92352,Cancelled,F,2022-10-12,,,,1
O11546,U9216,Cancelled,F,2022-08-06,,,,2
O115466,U92366,Processing,F,2022-06-02,,,,2
O11547,U9216,Shipped,F,2022-08-26,2022-08-25,,,2
O115488,U92381,Shipped,F,2022-05-18,2022-05-20,,,1
O11550,U9217,Shipped,F,2023-01-11,2023-01-11,,,2
O115501,U92390,Returned,F,2023-02-05,2023-02-05,2023-02-10,2023-02-10,1
O115505,U92396,Shipped,F,2022-10-19,2022-10-19,,,4
O115518,U92407,Shipped,F,2022-11-30,2022-11-29,,,2
O115529,U92420,Complete,F,2023-05-30,2023-05-31,2023-05-31,,2
O115531,U92424,Shipped,F,2023-02-05,2023-02-07,,,3
O115533,U92424,Processing,F,2023-02-12,,,,4
O11554,U9221,Shipped,F,2022-04-11,2022-04-12,,,1
O115556,U92447,Cancelled,F,2023-03-06,,,,2
O115569,U92455,Complete,F,2021-01-18,2021-01-18,2021-01-19,,3
O115580,U92463,Shipped,F,2023-02-03,2023-02-05,,,1
O115587,U92467,Cancelled,F,2022-01-01,,,,2
O11563,U9229,Complete,F,2023-04-17,2023-04-19,2023-04-19,,1
O115630,U92505,Processing,F,2021-11-15,,,,2
O115649,U92515,Complete,F,2021-03-25,2021-03-28,2021-04-01,,4
O115677,U92550,Complete,F,2023-02-24,2023-02-25,2023-03-01,,1
O115708,U92580,Shipped,F,2023-06-24,2023-06-25,,,1
O115721,U92593,Complete,F,2023-04-21,2023-04-23,2023-04-26,,2
O115737,U92604,Complete,F,2023-04-30,2023-04-28,2023-04-29,,3
O115741,U92606,Cancelled,F,2023-01-21,,,,2
O115766,U92624,Processing,F,2022-05-22,,,,2
O115782,U92637,Returned,F,2023-06-18,2023-06-19,2023-06-24,2023-06-24,2
O115783,U92641,Complete,F,2023-04-15,2023-04-14,2023-04-16,,2
O115788,U92647,Cancelled,F,2023-04-26,,,,2
O115794,U92652,Shipped,F,2022-07-31,2022-07-31,,,4
O115806,U92659,Processing,F,2023-03-31,,,,1
O115807,U92660,Cancelled,F,2023-04-04,,,,4
O115833,U92677,Shipped,F,2020-09-27,2020-09-26,,,3
O115858,U92696,Shipped,F,2023-06-21,2023-06-18,,,2
O115874,U92715,Cancelled,F,2022-03-04,,,,1
O115886,U92724,Shipped,F,2021-01-29,2021-01-26,,,2
O1159,U930,Shipped,F,2022-01-27,2022-01-28,,,2
O115900,U92737,Complete,F,2023-02-06,2023-02-06,2023-02-10,,1
O115933,U92765,Processing,F,2022-05-21,,,,2
O115937,U92767,Shipped,F,2020-03-13,2020-03-15,,,1
O115938,U92767,Shipped,F,2020-12-08,2020-12-08,,,1
O115942,U92770,Shipped,F,2022-12-18,2022-12-17,,,2
O115952,U92776,Processing,F,2020-10-27,,,,4
O11599,U9253,Complete,F,2022-07-24,2022-07-25,2022-07-28,,1
O115992,U92803,Complete,F,2022-03-16,2022-03-18,2022-03-22,,1
O115994,U92803,Shipped,F,2021-03-02,2021-03-03,,,2
O115997,U92804,Shipped,F,2022-12-29,2022-12-30,,,1
O116011,U92815,Processing,F,2022-06-23,,,,1
O116014,U92819,Returned,F,2023-05-04,2023-05-07,2023-05-07,2023-05-07,1
O116034,U92831,Complete,F,2022-10-27,2022-10-29,2022-11-01,,1
O116035,U92831,Complete,F,2022-02-16,2022-02-18,2022-02-22,,4
O116039,U92834,Processing,F,2023-04-21,,,,3
O116054,U92851,Returned,F,2022-01-25,2022-01-26,2022-01-27,2022-01-27,1
O116059,U92854,Shipped,F,2023-04-24,2023-04-27,,,1
O116097,U92893,Complete,F,2023-06-22,2023-06-22,2023-06-23,,3
O116167,U92949,Cancelled,F,2022-09-22,,,,1
O116183,U92960,Complete,F,2020-05-25,2020-05-26,2020-05-27,,4
O116193,U92965,Shipped,F,2022-10-06,2022-10-06,,,1
O116211,U92977,Cancelled,F,2023-04-20,,,,2
O116214,U92978,Shipped,F,2023-03-07,2023-03-09,,,1
O116223,U92988,Cancelled,F,2023-01-11,,,,2
O116232,U92994,Returned,F,2023-05-11,2023-05-08,2023-05-13,2023-05-13,2
O116252,U93002,Returned,F,2023-02-10,2023-02-07,2023-02-08,2023-02-08,2
O116263,U93010,Shipped,F,2023-07-02,2023-06-29,,,2
O116273,U93018,Complete,F,2021-07-22,2021-07-24,2021-07-25,,1
O116297,U93036,Returned,F,2022-01-28,2022-01-29,2022-01-31,2022-01-31,1
O11633,U9281,Cancelled,F,2022-12-20,,,,1
O116330,U93062,Cancelled,F,2022-02-03,,,,2
O116338,U93067,Complete,F,2023-06-27,2023-06-28,2023-07-02,,1
O116366,U93090,Returned,F,2023-06-29,2023-06-27,2023-07-01,2023-07-01,2
O116399,U93115,Cancelled,F,2023-03-05,,,,1
O1164,U936,Shipped,F,2022-03-15,2022-03-16,,,1
O116407,U93119,Processing,F,2022-11-27,,,,2
O116438,U93147,Complete,F,2023-06-02,2023-06-03,2023-06-06,,4
O116441,U93151,Cancelled,F,2021-08-26,,,,1
O116453,U93160,Processing,F,2022-12-16,,,,3
O116454,U93160,Shipped,F,2022-11-27,2022-11-28,,,2
O116478,U93181,Returned,F,2021-05-14,2021-05-14,2021-05-15,2021-05-15,1
O116484,U93184,Cancelled,F,2022-11-30,,,,4
O116486,U93187,Shipped,F,2021-10-20,2021-10-21,,,1
O116505,U93199,Returned,F,2019-03-11,2019-03-11,2019-03-12,2019-03-12,1
O116539,U93229,Processing,F,2022-10-24,,,,3
O116572,U93259,Returned,F,2023-07-02,2023-06-29,2023-06-30,2023-06-30,2
O116590,U93274,Cancelled,F,2023-05-08,,,,1
O116602,U93288,Shipped,F,2021-05-19,2021-05-21,,,1
O116610,U93297,Shipped,F,2022-08-16,2022-08-15,,,2
O116612,U93297,Complete,F,2021-04-19,2021-04-17,2021-04-20,,4
O11663,U9305,Returned,F,2022-02-07,2022-02-04,2022-02-08,2022-02-08,4
O116631,U93309,Shipped,F,2021-05-13,2021-05-14,,,2
O116634,U93312,Shipped,F,2023-03-02,2023-03-04,,,1
O11665,U9305,Shipped,F,2020-05-14,2020-05-17,,,1
O116656,U93326,Cancelled,F,2023-06-08,,,,1
O116659,U93328,Processing,F,2020-11-15,,,,1
O116661,U93329,Returned,F,2022-12-19,2022-12-21,2022-12-23,2022-12-23,1
O116664,U93331,Cancelled,F,2023-04-16,,,,1
O116698,U93355,Returned,F,2021-12-06,2021-12-09,2021-12-13,2021-12-13,1
O11672,U9309,Complete,F,2022-11-12,2022-11-13,2022-11-16,,1
O116751,U93401,Cancelled,F,2023-03-23,,,,1
O11676,U9312,Shipped,F,2023-05-18,2023-05-18,,,1
O116780,U93422,Shipped,F,2023-06-14,2023-06-15,,,3
O116787,U93430,Processing,F,2020-01-30,,,,3
O116791,U93435,Processing,F,2022-10-05,,,,2
O116839,U93473,Complete,F,2023-06-06,2023-06-09,2023-06-09,,1
O116853,U93486,Cancelled,F,2019-12-07,,,,1
O116854,U93486,Shipped,F,2022-10-01,2022-10-02,,,1
O116871,U93502,Complete,F,2021-10-19,2021-10-23,2021-10-23,,1
O116877,U93505,Complete,F,2020-02-23,2020-02-24,2020-02-27,,3
O116893,U93513,Cancelled,F,2021-01-27,,,,2
O116900,U93516,Returned,F,2021-08-21,2021-08-21,2021-08-23,2021-08-23,4
O116944,U93552,Shipped,F,2021-02-25,2021-02-27,,,1
O116953,U93556,Cancelled,F,2022-04-22,,,,1
O116962,U93562,Shipped,F,2023-04-16,2023-04-16,,,1
O116964,U93567,Complete,F,2022-12-04,2022-12-06,2022-12-11,,1
O116968,U93572,Complete,F,2023-02-03,2023-02-03,2023-02-06,,1
O116975,U93578,Returned,F,2023-03-22,2023-03-19,2023-03-22,2023-03-22,2
O116985,U93586,Processing,F,2022-12-25,,,,1
O116995,U93596,Complete,F,2022-07-03,2022-06-30,2022-07-02,,2
O117008,U93604,Cancelled,F,2022-09-10,,,,4
O117023,U93616,Complete,F,2023-04-21,2023-04-21,2023-04-25,,1
O11703,U9332,Shipped,F,2022-11-24,2022-11-24,,,2
O117033,U93623,Processing,F,2023-01-29,,,,2
O117066,U93646,Cancelled,F,2023-02-02,,,,2
O117067,U93648,Complete,F,2020-10-16,2020-10-18,2020-10-19,,1
O117071,U93650,Processing,F,2021-06-04,,,,3
O117103,U93680,Cancelled,F,2023-01-21,,,,3
O117111,U93685,Shipped,F,2022-12-30,2022-12-31,,,2
O117122,U93691,Shipped,F,2023-02-12,2023-02-11,,,2
O117124,U93692,Cancelled,F,2023-06-14,,,,1
O117127,U93694,Cancelled,F,2020-12-16,,,,1
O117151,U93710,Processing,F,2023-04-15,,,,1
O117172,U93730,Returned,F,2022-11-26,2022-11-28,2022-11-28,2022-11-28,1
O117176,U93734,Cancelled,F,2022-06-02,,,,3
O117185,U93740,Returned,F,2022-11-13,2022-11-12,2022-11-12,2022-11-12,2
O117187,U93740,Shipped,F,2022-12-20,2022-12-17,,,2
O117207,U93753,Shipped,F,2022-05-17,2022-05-19,,,1
O117209,U93754,Shipped,F,2020-05-31,2020-06-01,,,4
O117221,U93762,Shipped,F,2023-05-25,2023-05-24,,,2
O117241,U93777,Complete,F,2021-03-22,2021-03-22,2021-03-24,,1
O117258,U93793,Processing,F,2021-10-30,,,,1
O117260,U93794,Shipped,F,2023-04-26,2023-04-29,,,1
O117283,U93815,Returned,F,2022-08-01,2022-08-03,2022-08-03,2022-08-03,1
O11730,U9349,Complete,F,2023-06-18,2023-06-18,2023-06-18,,4
O11733,U9350,Complete,F,2021-05-08,2021-05-04,2021-05-08,,4
O11734,U9351,Cancelled,F,2023-05-08,,,,4
O117349,U93868,Shipped,F,2022-03-20,2022-03-20,,,1
O117420,U93918,Cancelled,F,2023-06-29,,,,4
O117441,U93935,Complete,F,2022-03-09,2022-03-09,2022-03-10,,1
O117442,U93935,Complete,F,2020-04-05,2020-04-02,2020-04-06,,2
O117444,U93935,Shipped,F,2022-08-17,2022-08-19,,,1
O117452,U93944,Shipped,F,2023-04-11,2023-04-13,,,1
O117462,U93956,Returned,F,2022-05-21,2022-05-24,2022-05-26,2022-05-26,1
O117475,U93974,Returned,F,2023-05-24,2023-05-26,2023-05-28,2023-05-28,1
O117488,U93989,Cancelled,F,2022-01-11,,,,1
O117514,U94008,Complete,F,2022-07-21,2022-07-23,2022-07-26,,1
O117517,U94012,Complete,F,2020-08-29,2020-08-30,2020-09-03,,1
O117532,U94025,Complete,F,2021-10-19,2021-10-19,2021-10-23,,2
O11754,U9369,Complete,F,2020-03-31,2020-04-02,2020-04-05,,1
O117569,U94059,Complete,F,2019-09-01,2019-09-04,2019-09-05,,2
O117573,U94062,Shipped,F,2022-05-03,2022-05-04,,,1
O117576,U94065,Returned,F,2023-05-20,2023-05-20,2023-05-25,2023-05-25,2
O117580,U94066,Processing,F,2023-02-04,,,,2
O117589,U94074,Complete,F,2021-11-20,2021-11-20,2021-11-23,,4
O117615,U94095,Complete,F,2021-06-08,2021-06-08,2021-06-08,,3
O117623,U94100,Complete,F,2023-06-29,2023-07-02,2023-07-04,,4
O117628,U94103,Cancelled,F,2023-06-29,,,,1
O117636,U94110,Shipped,F,2023-05-10,2023-05-11,,,1
O117638,U94112,Cancelled,F,2023-03-06,,,,4
O117663,U94130,Cancelled,F,2023-06-10,,,,1
O11768,U9382,Shipped,F,2023-06-30,2023-06-29,,,2
O117686,U94149,Shipped,F,2021-10-06,2021-10-07,,,1
O117726,U94180,Processing,F,2023-05-22,,,,2
O117728,U94181,Processing,F,2021-07-21,,,,1
O117743,U94190,Shipped,F,2023-02-25,2023-02-26,,,2
O117759,U94201,Cancelled,F,2020-07-31,,,,1
O11776,U9392,Shipped,F,2022-02-28,2022-02-26,,,4
O117766,U94206,Shipped,F,2023-02-03,2023-02-02,,,4
O117777,U94214,Complete,F,2019-07-13,2019-07-16,2019-07-20,,1
O117778,U94215,Returned,F,2020-04-29,2020-04-29,2020-05-03,2020-05-03,1
O117785,U94220,Shipped,F,2023-04-27,2023-04-28,,,1
O117797,U94232,Shipped,F,2022-03-31,2022-04-01,,,1
O117824,U94250,Returned,F,2021-12-11,2021-12-08,2021-12-12,2021-12-12,2
O117840,U94263,Returned,F,2023-06-05,2023-06-07,2023-06-12,2023-06-12,1
O117848,U94269,Complete,F,2023-06-22,2023-06-24,2023-06-28,,1
O117849,U94269,Cancelled,F,2020-12-11,,,,2
O117861,U94274,Shipped,F,2023-03-12,2023-03-11,,,4
O117872,U94281,Processing,F,2022-01-17,,,,2
O117877,U94285,Processing,F,2022-06-01,,,,2
O117897,U94305,Cancelled,F,2023-04-28,,,,2
O117922,U94320,Complete,F,2022-11-10,2022-11-10,2022-11-12,,1
O117948,U94337,Shipped,F,2023-04-09,2023-04-08,,,3
O117952,U94341,Processing,F,2019-06-02,,,,1
O117978,U94362,Cancelled,F,2022-06-25,,,,1
O118007,U94392,Complete,F,2022-08-16,2022-08-15,2022-08-16,,2
O118055,U94434,Complete,F,2023-01-02,2023-01-04,2023-01-05,,1
O118060,U94436,Shipped,F,2022-01-30,2022-02-01,,,1
O11808,U9421,Shipped,F,2023-03-14,2023-03-14,,,1
O118158,U94505,Complete,F,2020-03-07,2020-03-07,2020-03-10,,4
O118167,U94510,Returned,F,2023-05-30,2023-05-30,2023-06-01,2023-06-01,3
O118182,U94524,Returned,F,2023-02-27,2023-03-01,2023-03-05,2023-03-05,1
O118213,U94547,Complete,F,2022-07-18,2022-07-19,2022-07-21,,2
O118221,U94553,Cancelled,F,2020-07-25,,,,1
O118235,U94564,Cancelled,F,2023-02-28,,,,1
O118236,U94569,Complete,F,2023-05-16,2023-05-15,2023-05-19,,3
O1183,U950,Shipped,F,2023-06-02,2023-06-05,,,1
O118317,U94636,Complete,F,2022-01-19,2022-01-21,2022-01-25,,1
O118322,U94640,Shipped,F,2021-09-29,2021-09-29,,,1
O118333,U94648,Shipped,F,2023-02-23,2023-02-25,,,1
O118341,U94653,Shipped,F,2022-12-26,2022-12-27,,,2
O118371,U94683,Complete,F,2022-07-26,2022-07-27,2022-07-30,,1
O118373,U94684,Complete,F,2022-02-20,2022-02-23,2022-02-23,,1
O118389,U94693,Shipped,F,2022-03-24,2022-03-26,,,1
O118406,U94710,Complete,F,2023-05-06,2023-05-08,2023-05-10,,1
O118419,U94719,Cancelled,F,2021-12-11,,,,1
O118420,U94719,Complete,F,2022-08-04,2022-08-04,2022-08-09,,2
O118431,U94730,Complete,F,2022-11-06,2022-11-08,2022-11-12,,2
O118433,U94730,Complete,F,2022-11-29,2022-12-02,2022-12-05,,1
O118437,U94736,Cancelled,F,2022-07-17,,,,1
O118438,U94737,Cancelled,F,2022-10-09,,,,2
O118470,U94760,Shipped,F,2022-09-24,2022-09-25,,,1
O118472,U94761,Complete,F,2023-03-18,2023-03-20,2023-03-20,,2
O118475,U94765,Shipped,F,2022-12-07,2022-12-08,,,1
O1185,U951,Shipped,F,2020-10-25,2020-10-23,,,2
O118564,U94831,Complete,F,2022-12-07,2022-12-09,2022-12-09,,1
O118565,U94831,Shipped,F,2023-03-22,2023-03-21,,,2
O118580,U94839,Shipped,F,2023-06-23,2023-06-20,,,3
O118586,U94848,Shipped,F,2023-06-14,2023-06-15,,,1
O118599,U94860,Returned,F,2022-07-03,2022-07-05,2022-07-09,2022-07-09,2
O11861,U9463,Complete,F,2023-06-20,2023-06-18,2023-06-18,,4
O118629,U94883,Shipped,F,2022-01-11,2022-01-10,,,2
O11863,U9465,Shipped,F,2023-06-27,2023-06-26,,,3
O118709,U94954,Shipped,F,2022-12-07,2022-12-08,,,3
O118716,U94963,Shipped,F,2021-08-06,2021-08-05,,,2
O118725,U94969,Shipped,F,2022-04-27,2022-04-25,,,2
O118732,U94978,Shipped,F,2022-05-28,2022-05-27,,,3
O118740,U94987,Complete,F,2022-07-28,2022-07-30,2022-08-01,,1
O1188,U952,Shipped,F,2023-06-27,2023-06-26,,,3
O118801,U95032,Cancelled,F,2022-12-01,,,,1
O118810,U95040,Complete,F,2020-08-02,2020-08-05,2020-08-07,,1
O118818,U95044,Shipped,F,2023-06-04,2023-06-02,,,3
O118822,U95045,Shipped,F,2021-12-11,2021-12-08,,,3
O118831,U95052,Complete,F,2023-05-14,2023-05-15,2023-05-18,,1
O118837,U95057,Returned,F,2022-08-19,2022-08-20,2022-08-23,2022-08-23,1
O118850,U95064,Shipped,F,2022-10-27,2022-10-25,,,2
O118877,U95087,Cancelled,F,2021-07-01,,,,2
O118887,U95095,Complete,F,2020-06-14,2020-06-15,2020-06-20,,1
O118895,U95103,Processing,F,2023-04-08,,,,2
O118898,U95106,Processing,F,2022-12-11,,,,1
O118920,U95123,Complete,F,2023-02-27,2023-03-02,2023-03-03,,1
O118923,U95125,Shipped,F,2022-10-07,2022-10-08,,,1
O118935,U95135,Processing,F,2023-06-28,,,,1
O118954,U95149,Shipped,F,2020-04-17,2020-04-19,,,1
O11896,U9492,Complete,F,2022-03-09,2022-03-12,2022-03-14,,3
O118964,U95160,Shipped,F,2020-08-19,2020-08-16,,,2
O118969,U95163,Complete,F,2023-06-29,2023-06-30,2023-07-04,,1
O118988,U95175,Complete,F,2023-02-14,2023-02-15,2023-02-19,,1
O119005,U95189,Complete,F,2022-09-18,2022-09-20,2022-09-22,,1
O119011,U95192,Shipped,F,2023-06-28,2023-06-30,,,1
O119016,U95197,Shipped,F,2020-05-27,2020-05-27,,,3
O119042,U95218,Shipped,F,2020-06-23,2020-06-23,,,1
O119057,U95231,Complete,F,2023-05-31,2023-06-01,2023-06-06,,1
O119083,U95255,Shipped,F,2023-06-29,2023-07-02,,,1
O119084,U95255,Cancelled,F,2023-06-29,,,,1
O119106,U95271,Cancelled,F,2022-08-19,,,,3
O119129,U95293,Shipped,F,2023-01-10,2023-01-07,,,2
O119144,U95309,Processing,F,2019-12-25,,,,4
O119155,U95315,Shipped,F,2021-06-24,2021-06-25,,,1
O119186,U95337,Processing,F,2022-10-13,,,,2
O1192,U954,Returned,F,2020-12-09,2020-12-11,2020-12-12,2020-12-12,1
O11921,U9516,Shipped,F,2023-05-07,2023-05-07,,,1
O119251,U95389,Processing,F,2023-06-19,,,,1
O119253,U95389,Cancelled,F,2021-04-29,,,,2
O119254,U95389,Processing,F,2022-07-09,,,,1
O119257,U95391,Cancelled,F,2020-06-05,,,,2
O119258,U95391,Processing,F,2021-05-26,,,,2
O119271,U95399,Returned,F,2023-05-10,2023-05-11,2023-05-12,2023-05-12,2
O119279,U95403,Complete,F,2023-06-09,2023-06-12,2023-06-16,,1
O119308,U95420,Shipped,F,2019-08-28,2019-08-30,,,1
O119309,U95421,Shipped,F,2023-06-30,2023-06-28,,,2
O119324,U95431,Shipped,F,2019-06-21,2019-06-22,,,1
O11936,U9528,Cancelled,F,2023-03-16,,,,2
O119374,U95474,Cancelled,F,2023-03-17,,,,1
O119375,U95474,Shipped,F,2023-04-26,2023-04-28,,,1
O119455,U95540,Shipped,F,2021-09-20,2021-09-20,,,1
O119478,U95556,Processing,F,2020-10-20,,,,1
O119490,U95565,Shipped,F,2023-01-10,2023-01-11,,,4
O119501,U95573,Returned,F,2022-10-05,2022-10-06,2022-10-10,2022-10-10,3
O119543,U95604,Complete,F,2021-01-28,2021-01-29,2021-01-30,,1
O119561,U95614,Shipped,F,2022-12-28,2022-12-27,,,3
O119566,U95616,Complete,F,2021-01-10,2021-01-08,2021-01-10,,2
O119579,U95626,Cancelled,F,2023-05-15,,,,4
O119597,U95640,Cancelled,F,2020-09-13,,,,3
O119629,U95666,Complete,F,2023-01-30,2023-01-29,2023-01-30,,2
O119630,U95667,Processing,F,2022-12-12,,,,2
O119642,U95677,Complete,F,2022-11-08,2022-11-05,2022-11-08,,4
O119655,U95690,Returned,F,2021-06-20,2021-06-22,2021-06-25,2021-06-25,1
O119683,U95713,Complete,F,2023-03-14,2023-03-11,2023-03-16,,2
O119684,U95713,Cancelled,F,2021-02-10,,,,1
O1197,U958,Processing,F,2019-08-14,,,,1
O119703,U95725,Returned,F,2022-07-29,2022-07-27,2022-08-01,2022-08-01,3
O119728,U95746,Cancelled,F,2023-05-15,,,,1
O119739,U95753,Returned,F,2023-03-24,2023-03-27,2023-03-30,2023-03-30,1
O11974,U9551,Shipped,F,2022-07-28,2022-07-31,,,1
O119740,U95753,Complete,F,2023-02-02,2023-02-02,2023-02-02,,2
O119827,U95825,Complete,F,2023-04-10,2023-04-11,2023-04-12,,1
O11986,U9559,Returned,F,2023-04-16,2023-04-18,2023-04-23,2023-04-23,2
O119862,U95850,Shipped,F,2023-06-07,2023-06-09,,,1
O119866,U95852,Cancelled,F,2022-09-01,,,,1
O119867,U95852,Cancelled,F,2023-02-05,,,,2
O119877,U95861,Cancelled,F,2023-05-18,,,,2
O119885,U95865,Processing,F,2019-08-11,,,,4
O1199,U959,Shipped,F,2022-06-05,2022-06-08,,,2
O119923,U95894,Processing,F,2020-10-29,,,,2
